"Gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"PROS1"	"PROS1"	-3.60863815941452	8.7153572175102	-25.9840544235598	6.32412807716308e-46	7.46432029130892e-44	94.2752743437036
"TYMS"	"TYMS"	3.60092472733088	9.28856789397959	25.968756400009	6.65352536624285e-46	7.80744781784183e-44	94.2245104210803
"CRCT1"	"CRCT1"	-5.12872492947794	7.97260438166327	-25.9662645698876	6.70879554397051e-46	7.82679887074895e-44	94.2162395484624
"CACNA2D2"	"CACNA2D2"	2.81114956646416	7.48112919472449	25.9427560415916	7.25357359385316e-46	8.41372849682404e-44	94.1381804342859
"ABCA8"	"ABCA8"	-4.63423800155146	8.19977398769388	-25.8883000188559	8.69330217939665e-46	1.00261095935293e-43	93.9571548766712
"NRXN3"	"NRXN3"	3.65519059437224	5.9676743539898	25.8650760570055	9.39197632514207e-46	1.07703555778604e-43	93.8798646756356
"ABCA12"	"ABCA12"	-3.71036682305513	6.64560742765306	-25.8603691999448	9.5403408633239e-46	1.08786835957326e-43	93.8641936691164
"PTGIS"	"PTGIS"	-3.82268567272242	8.79751153032653	-25.81572707559	1.10705663142216e-45	1.25124018938273e-43	93.7154546378127
"CST6"	"CST6"	-6.58336166636212	10.4497863498878	-25.8150101867472	1.10970615815047e-45	1.25124018938273e-43	93.713064512144
"NEFM"	"NEFM"	6.61083893496416	6.54528358455102	25.8113419196529	1.1233640243706e-45	1.25960311688177e-43	93.7008336295764
"EGLN3"	"EGLN3"	-3.6292788403465	7.59288035628571	-25.797582739384	1.1761211497796e-45	1.31147255060782e-43	93.6549454927628
"FAM83C"	"FAM83C"	-4.52695199540992	8.12002619038775	-25.7779470565976	1.25576976678307e-45	1.39259347269135e-43	93.5894265862684
"JAK1"	"JAK1"	-2.40909144332168	8.41005511403061	-25.738176442598	1.43416451668465e-45	1.5817345595763e-43	93.4566071694124
"MUC15"	"MUC15"	-4.80691180807537	7.87350206910204	-25.7232797569875	1.50738542312803e-45	1.65345434755397e-43	93.4068177061891
"CNN1"	"CNN1"	-3.16926526466819	8.05129993991837	-25.6803714452946	1.74006650636127e-45	1.89836552961565e-43	93.2632826585121
"OSR2"	"OSR2"	-3.66867953660937	7.64949587593878	-25.6621993604973	1.84923206136621e-45	2.00661562873947e-43	93.2024396042179
"LOC101927164"	"LOC101927164"	-2.93746770237775	7.76633922090816	-25.6395538258982	1.9949942607842e-45	2.15320690724104e-43	93.1265732199647
"BEX1"	"BEX1"	5.80251182204596	7.40715711364286	25.5646170191796	2.56526402425844e-45	2.75397467029831e-43	92.875161621258
"DMKN"	"DMKN"	-6.6253322985919	10.4219616390408	-25.5227633189685	2.95270681785783e-45	3.15314718014945e-43	92.734501714245
"IL20RA"	"IL20RA"	-3.25818249829687	6.67816895594898	-25.4985194363769	3.20361115097657e-45	3.40307809790316e-43	92.6529446994112
"ADCY1"	"ADCY1"	5.12754815054964	6.82431039337755	25.4883536982885	3.31511804722252e-45	3.50309044749174e-43	92.6187295699126
"JAG1"	"JAG1"	-3.06774155958088	7.25632178961224	-25.4788752827081	3.42261059770413e-45	3.59784112986784e-43	92.5868185478823
"SNRPE"	"SNRPE"	2.52040917670496	8.15197903481633	25.4451938445105	3.83384301182832e-45	4.00924629573736e-43	92.4733509546165
"AP3D1"	"AP3D1"	1.95609060360754	8.57773927072449	25.4384946458057	3.92140026664175e-45	4.07967121554796e-43	92.4507689463833
"SLC9A9"	"SLC9A9"	-1.45626685377021	6.14475168653061	-25.4012458284145	4.44635273507016e-45	4.60208908984211e-43	92.3251272902951
